material;id_tienda;stock_restaurado
000000000400329004;3098;466
000000000000611419;3091;207
000000000000004933;3172;2267
000000000650059002;3206;422
000000000000355620;3193;457
000000000000612233;3088;317
000000000000006490;3187;179
000000000000210393;3187;41
000000000000006449;3093;86
000000000000006128;3225;34
000000000000203297;3223;27
000000000000613365;3086;31
000000000000006526;3074;361
000000000000634900;3206;89
000000000000146528;3193;81
000000000000544491;3206;11
000000000000789276;3091;81
000000000000010579;3085;20
000000000000189557;3086;111
000000000000006107;3180;1609
000000000000210189;3172;169
000000000000516748;3094;5844
000000000000128218;3187;175
000000000000134121;3187;24
000000000000621033;3223;398
000000000000185021;3223;79
000000000663007002;3180;76
000000000000566339;3089;144
000000000000180012;3223;25
000000000000179744;3172;62
000000000000146528;3088;51
000000000400071001;3091;63
000000000000604494;3206;16
000000000000355622;3223;475
000000000000638654;3206;81
000000000000006532;3193;48
000000000000339668;3223;135
000000000000518338;3180;213
000000000000581680;3206;181
000000000400329001;3225;455
000000000000810438;3088;51
000000000000185005;3088;92
000000000000877304;3225;93
000000000641229002;3074;172
000000000000189537;3193;49
000000000000152767;3091;99
000000000000617412;3223;42
000000000000759336;3212;2752
000000000000640961;3092;208
000000000000024197;3092;134
000000000000010680;3180;65
000000000000024562;3180;74
000000000000187005;3180;585
000000000000217411;3088;56
000000000000621034;3093;198
000000000000543700;3093;22
000000000000985918;3212;35
000000000000628113;3098;403
000000000000006495;3193;70
000000000000213180;3094;40
000000000000629761;3193;207
000000000000561208;3091;49
000000000000637931;3088;6
000000000000616209;3172;16
000000000000665855;3088;67
000000000000665402;3223;52
000000000000189986;3193;252
000000000000052658;3089;353
000000000000007413;3094;55
000000000000666101;3225;184
000000000000024552;3187;52
000000000650059001;3091;542
000000000000913286;3187;2007
000000000000035284;3212;111
000000000000668060;3091;190
000000000401864002;3225;11
000000000000052614;3212;175
000000000000217412;3225;66
000000000000010680;3091;70
000000000000617412;3089;83
000000000402163019;3093;27
000000000000052614;3089;164
000000000000010630;3225;40
000000000000615078;3089;50
000000000000181878;3212;53
000000000000663156;3085;288
000000000000758871;3098;661
000000000000180013;3085;23
000000000000638546;3091;60
000000000000630078;3187;11
000000000000558422;3091;81
000000000400071004;3193;119
000000000000005960;3193;178
000000000634901002;3088;54
000000000000639546;3091;139
000000000000172456;3086;53
000000000000004912;3088;344
000000000000351786;3193;278
